,human,mouse,zebrafish,C.elegans,Drosophila,Ciliate,Yeast,Methanocaldococcus,Thermococcus,Tuberculosis,E.coli
H2A,8e-84,6e-84,1e-81,6e-67,8e-74,4e-57,1,1,1,1,1
H2B,2e-87,9e-84,2e-71,5e-65,1e-58,3e-50,3e-57,1,1,1,1e-71
H3,2e-96,1e-96,2e-95,4e-94,2e-94,9e-86,3e-87,1,1,1,7e-93
H4,9e-68,6e-68,4e-68,6e-68,2e-66,5e-49,1e-52,1,1,1,8e-48
CCDC101,0,0,4e-173,3e-48,4e-93,1,1.4e-02,1,1,1,1
